id_major,id_university,type,major_name,capacity
1111014,111,science,PENDIDIKAN DOKTER HEWAN,88
1111022,111,science,TEKNIK SIPIL,64
1111037,111,science,TEKNIK MESIN,48
1111045,111,science,TEKNIK KIMIA,48
1111053,111,science,ARSITEKTUR,48
1111061,111,science,TEKNIK ELEKTRO,48
1111076,111,science,AGROTEKNOLOGI,48
1111084,111,science,AGRIBISNIS,48
1111092,111,science,PETERNAKAN,48
1111103,111,science,TEKNOLOGI HASIL PERTANIAN,48
1111111,111,science,TEKNIK PERTANIAN,40
1111126,111,science,PENDIDIKAN BIOLOGI,48
1111134,111,science,PENDIDIKAN MATEMATIKA,48
1111142,111,science,PENDIDIKAN FISIKA,36
1111157,111,science,PENDIDIKAN KIMIA,40
1111165,111,science,PENDIDIKAN DOKTER,60
1111173,111,science,ILMU KEPERAWATAN,60
1111181,111,science,PENDIDIKAN DOKTER GIGI,24
1111196,111,science,MATEMATIKA,36
1111207,111,science,FISIKA,36
1111215,111,science,KIMIA,36
1111223,111,science,BIOLOGI,36
1111231,111,science,ILMU KELAUTAN,72
1111246,111,science,BUDIDAYA PERAIRAN,72
1111254,111,science,TEKNIK INDUSTRI,48
1111262,111,science,INFORMATIKA,36
1111277,111,science,FARMASI,24
1111285,111,science,TEKNIK GEOFISIKA,32
1111293,111,science,TEKNIK PERTAMBANGAN,24
1111304,111,science,STATISTIKA,24
1111312,111,science,PEMANFAATAN SUMBERDAYA PERIKANAN,72
1111327,111,science,ILMU TANAH,32
1111335,111,science,TEKNIK GEOLOGI,24
1111343,111,science,AGROTEKNOLOGI (PSDKU GAYO LUES),20
1111351,111,science,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),16
1111366,111,science,KEHUTANAN (PSDKU GAYO LUES),16
1111374,111,science,PROTEKSI TANAMAN,32
1111382,111,science,PERENCANAAN WILAYAH DAN KOTA,24
1111397,111,science,KEHUTANAN,32
1111401,111,science,TEKNIK KOMPUTER,40
1121016,112,science,TEKNIK SIPIL,100
1121024,112,science,TEKNIK MESIN,100
1121032,112,science,TEKNIK KIMIA,100
1121047,112,science,TEKNIK ELEKTRO,80
1121055,112,science,TEKNIK INDUSTRI,80
1121063,112,science,TEKNIK INFORMATIKA,80
1121071,112,science,TEKNIK ARSITEKTUR,64
