"id_university","university_name","province","latitude","longitude"
"324","UPN VETERAN JAKARTA","DKI Jakarta","-6.211544","106.845172"
"111","UNIVERSITAS SYIAH KUALA","Aceh","4.695135","96.7493993"
"112","UNIVERSITAS MALIKUSSALEH","Aceh","4.695135","96.7493993"
"113","UNIVERSITAS TEUKU UMAR","Aceh","4.695135","96.7493993"
"114","UNIVERSITAS SAMUDRA","Aceh","4.695135","96.7493993"
"115","ISBI ACEH","Aceh","4.695135","96.7493993"
"116","UNIVERSITAS ISLAM NEGERI AR-RANIRY","Aceh","4.695135","96.7493993"
"121","UNIVERSITAS SUMATERA UTARA","Sumatera Utara","2.1153547","99.5450974"
"122","UNIVERSITAS NEGERI MEDAN","Sumatera Utara","2.1153547","99.5450974"
"123","UNIVERSITAS ISLAM NEGERI SUMATERA UTARA","Sumatera Utara","2.1153547","99.5450974"
"131","UNIVERSITAS RIAU","Riau","0.2933469","101.7068294"
"132","UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM","Riau","0.2933469","101.7068294"
"133","UNIVERSITAS MARITIM RAJA ALI HAJI","Kepulauan Riau","3.9456514","108.1428669"
"141","UNIVERSITAS ANDALAS","Sumatera Barat","-0.7399397","100.8000051"
"142","UNIVERSITAS NEGERI PADANG","Sumatera Barat","-0.7399397","100.8000051"
"143","ISI PADANG PANJANG","Sumatera Barat","-0.7399397","100.8000051"
"151","UNIVERSITAS JAMBI","Jambi","-1.4851831","102.4380581"
"161","UNIVERSITAS BENGKULU","Bengkulu","-3.5778471","102.3463875"
"171","UNIVERSITAS SRIWIJAYA","Sumatera Selatan","-3.3194374","103.914399"
"172","UNIVERSITAS ISLAM NEGERI RADEN FATAH","Sumatera Selatan","-3.3194374","103.914399"
"181","UNIVERSITAS BANGKA BELITUNG","Kepulauan Bangka Belitung","-2.7410513","106.4405872"
"191","UNIVERSITAS LAMPUNG","Lampung","-4.5585849","105.4068079"
"192","INSTITUT TEKNOLOGI SUMATERA","Lampung","-4.5585849","105.4068079"
"311","UNIVERSITAS SULTAN AGENG TIRTAYASA","Banten","-6.4058172","106.0640179"
"321","UNIVERSITAS INDONESIA","Jawa Barat","-7.090911","107.668887"
"322","UNIVERSITAS ISLAM NEGERI JAKARTA","DKI Jakarta","-6.211544","106.845172"
"323","UNIVERSITAS NEGERI JAKARTA","DKI Jakarta","-6.211544","106.845172"
"331","UNIVERSITAS SINGAPERBANGSA KARAWANG","Jawa Barat","-7.090911","107.668887"
"332","INSTITUT TEKNOLOGI BANDUNG","Jawa Barat","-7.090911","107.668887"
"333","UNIVERSITAS PADJADJARAN","Jawa Barat","-7.090911","107.668887"
"334","UNIVERSITAS PENDIDIKAN INDONESIA","Jawa Barat","-7.090911","107.668887"
"335","ISBI BANDUNG","Jawa Barat","-7.090911","107.668887"
"336","UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI","Jawa Barat","-7.090911","107.668887"
"341","INSTITUT PERTANIAN BOGOR","Jawa Barat","-7.090911","107.668887"
"342","UNIVERSITAS SILIWANGI","Jawa Barat","-7.090911","107.668887"
"351","UNIVERSITAS JENDERAL SOEDIRMAN","Jawa Tengah","-7.150975","110.1402594"
"352","UNIVERSITAS TIDAR","Jawa Tengah","-7.150975","110.1402594"
"353","UNIVERSITAS SEBELAS MARET","Jawa Tengah","-7.150975","110.1402594"
"354","ISI SURAKARTA","Jawa Tengah","-7.150975","110.1402594"
"355","UNIVERSITAS DIPONEGORO","Jawa Tengah","-7.150975","110.1402594"
"356","UNIVERSITAS NEGERI SEMARANG","Jawa Tengah","-7.150975","110.1402594"
"363","UPN VETERAN YOGYAKARTA","DI Yogyakarta","-7.8753849","110.4262088"
