university_name,major_name,capacity
Universitas Syiah Kuala,Ekonomi Pembangunan,64
Universitas Syiah Kuala,Manajemen,64
Universitas Syiah Kuala,Akuntansi,64
Universitas Syiah Kuala,Ilmu Hukum,160
Universitas Syiah Kuala,Pendidikan Pancasila Dan Kewarganegaraan,36
Universitas Syiah Kuala,Pendidikan Sejarah,36
Universitas Syiah Kuala,Pendidikan Ekonomi,36
Universitas Syiah Kuala,Pendidikan Geografi,36
Universitas Syiah Kuala,Pendidikan Bahasa Dan  Sastra Indonesia,36
Universitas Syiah Kuala,Pendidikan Bahasa Inggris,48
Universitas Syiah Kuala,Pendidikan Kesejahteraan Keluarga,40
Universitas Syiah Kuala,Pend. Jasmani Kesehatan Dan Rekreasi,48
Universitas Syiah Kuala,Bimbingan Konseling,40
Universitas Syiah Kuala,Pendidikan Guru Sekolah Dasar,48
Universitas Syiah Kuala,Psikologi,32
Universitas Syiah Kuala,Ilmu Politik,48
Universitas Syiah Kuala,Sosiologi,48
Universitas Syiah Kuala,Ilmu Komunikasi,48
Universitas Syiah Kuala,Pendidikan Guru Paud,36
Universitas Syiah Kuala,Ilmu Pemerintahan,48
Universitas Syiah Kuala,Ekonomi Islam,48
Universitas Malikussaleh,Manajemen,120
Universitas Malikussaleh,Akuntansi,100
Universitas Malikussaleh,Ilmu Ekonomi & Studi Pembangunan,100
Universitas Malikussaleh,Ilmu Administrasi Negara,108
Universitas Malikussaleh,Sosiologi,80
Universitas Malikussaleh,Ilmu Politik,64
Universitas Malikussaleh,Antropologi,48
Universitas Malikussaleh,Ilmu Komunikasi,126
Universitas Malikussaleh,Ilmu Hukum,160
Universitas Malikussaleh,Ekonomi Islam,64
Universitas Malikussaleh,Psikologi,60
Universitas Malikussaleh,Ilmu Administrasi Niaga,36
Universitas Teuku Umar,Ekonomi Pembangunan,60
Universitas Teuku Umar,Ilmu Administrasi Negara,60
Universitas Teuku Umar,Sosiologi,60
Universitas Teuku Umar,Ilmu Komunikasi,60
Universitas Teuku Umar,Manajemen,60
Universitas Teuku Umar,Akuntansi,60
Universitas Teuku Umar,Ilmu Hukum,60
Universitas Samudra,Ilmu Hukum,48
Universitas Samudra,Ekonomi Manajemen,48
Universitas Samudra,Ekonomi Pembangunan,32
Universitas Samudra,Pendidikan Sejarah,32
Universitas Samudra,Pendidikan Bahasa Inggris,32
Universitas Samudra,Akuntansi,32
Isbi Aceh,Seni Karawitan,12
Isbi Aceh,Seni Tari,12
Isbi Aceh,Seni Rupa Murni,12
Isbi Aceh,Kriya Seni,12
Isbi Aceh,Desain Komunikasi Visual,16
Universitas Islam Negeri Ar-Raniry,Ilmu Hukum,48
Universitas Islam Negeri Ar-Raniry,Bimbingan Konseling,28
Universitas Islam Negeri Ar-Raniry,Ekonomi Syariah,64
Universitas Islam Negeri Ar-Raniry,Perbankan Syariah,96
Universitas Islam Negeri Ar-Raniry,Ilmu Ekonomi,64
Universitas Islam Negeri Ar-Raniry,Ilmu Administrasi Negara,48
Universitas Islam Negeri Ar-Raniry,Psikologi,48
Universitas Sumatera Utara,Ilmu Hukum,216
Universitas Sumatera Utara,Ilmu Sejarah,22
Universitas Sumatera Utara,Antropologi Sosial,36
Universitas Sumatera Utara,Akuntansi,90
Universitas Sumatera Utara,Sosiologi,40
Universitas Sumatera Utara,Ilmu Kesejahteraan Sosial,44
Universitas Sumatera Utara,Ilmu Administrasi Negara,72
Universitas Sumatera Utara,Ilmu Komunikasi,45
Universitas Sumatera Utara,Manajemen,90
Universitas Sumatera Utara,Ekonomi Pembangunan,64
Universitas Sumatera Utara,Ilmu Politik,36
Universitas Sumatera Utara,Sastra Indonesia,42
Universitas Sumatera Utara,Sastra Daerah Untuk Sastra Melayu,36
Universitas Sumatera Utara,Sastra Inggris,47
Universitas Sumatera Utara,Sastra Daerah Untuk Sastra Batak,36
Universitas Sumatera Utara,Sastra Arab,44
Universitas Sumatera Utara,Etno Musikologi,36
Universitas Sumatera Utara,Sastra Jepang,36
Universitas Sumatera Utara,Ilmu Perpustakaan,36
Universitas Sumatera Utara,Sastra Cina,22
Universitas Sumatera Utara,Ilmu Administrasi Niaga/Bisnis,44
Universitas Sumatera Utara,Psikologi,90
Universitas Negeri Medan,Pendidikan Sejarah,54
Universitas Negeri Medan,Pend. Pancasila & Kewarganegaraan (Ppkn),57
Universitas Negeri Medan,Pendidikan Geografi,57
Universitas Negeri Medan,"Pend. Jasmani, Kesehatan & Rekreasi",82
Universitas Negeri Medan,Pendidikan Kepelatihan Olahraga (Pko),78
Universitas Negeri Medan,Pendidikan Luar Sekolah (Pls),36
Universitas Negeri Medan,Pendidikan Ekonomi,48
Universitas Negeri Medan,Manajemen,48
Universitas Negeri Medan,Akuntansi,48
Universitas Negeri Medan,"Pend. Bahasa, Sastra Indonesia & Daerah",75
Universitas Negeri Medan,Pendidikan Bahasa Inggris,68
Universitas Negeri Medan,Pendidikan Bahasa Perancis,54
Universitas Negeri Medan,Pendidikan Bahasa Jerman,45
Universitas Negeri Medan,Pendidikan Seni Rupa,27
Universitas Negeri Medan,Sastra Indonesia,36
Universitas Negeri Medan,Sastra Inggris,34
Universitas Negeri Medan,Pendidikan Guru Sekolah Dasar (Pgsd),157
Universitas Negeri Medan,Pendidikan Tata Boga,36
Universitas Negeri Medan,Pendidikan Tata Rias,36
Universitas Negeri Medan,Pendidikan Antropologi,54
Universitas Negeri Medan,Pend. Guru Pendidikan Anak Usia Dini,63
Universitas Negeri Medan,Pendidikan Bimbingan Dan Konseling,67
Universitas Negeri Medan,Pendidikan Akuntansi,32
Universitas Negeri Medan,Pendidikan Administrasi Perkantoran,32
Universitas Negeri Medan,Pendidikan Tata Niaga,32
Universitas Negeri Medan,Pendidikan Seni Tari,31
Universitas Negeri Medan,Pendidikan Seni Musik,49
Universitas Negeri Medan,Pendidikan Tata Busana,36
Universitas Negeri Medan,Seni Pertunjukan,30
Universitas Negeri Medan,Ilmu Ekonomi,48
Universitas Islam Negeri Sumatera Utara,Ilmu Perpustakaan,64
Universitas Islam Negeri Sumatera Utara,Ilmu Komunikasi,64
Universitas Islam Negeri Sumatera Utara,Manajemen,80
Universitas Islam Negeri Sumatera Utara,Hukum,48
Universitas Riau,Hubungan Internasional,64
Universitas Riau,Ilmu Pemerintahan,64
Universitas Riau,Ilmu Administrasi Negara,64
Universitas Riau,Ilmu Administrasi Niaga,48
Universitas Riau,Sosiologi,64
Universitas Riau,Ilmu Komunikasi,64
Universitas Riau,Pariwisata,48
Universitas Riau,Ekonomi Pembangunan,48
Universitas Riau,Manajemen,112
Universitas Riau,Akuntansi,112
Universitas Riau,Ilmu Hukum,144
Universitas Riau,Pend. Ekonomi,32
Universitas Riau,Pend. Pancasila & Kewarganegaraan (Ppkn),32
