university_name,major_name,capacity
Universitas Syiah Kuala,Pendidikan Dokter Hewan,88
Universitas Syiah Kuala,Teknik Sipil,64
Universitas Syiah Kuala,Teknik Mesin,48
Universitas Syiah Kuala,Teknik Kimia,48
Universitas Syiah Kuala,Arsitektur,48
Universitas Syiah Kuala,Teknik Elektro,48
Universitas Syiah Kuala,Agroteknologi,48
Universitas Syiah Kuala,Agribisnis,48
Universitas Syiah Kuala,Peternakan,48
Universitas Syiah Kuala,Teknologi Hasil Pertanian,48
Universitas Syiah Kuala,Teknik Pertanian,40
Universitas Syiah Kuala,Pendidikan Biologi,48
Universitas Syiah Kuala,Pendidikan Matematika,48
Universitas Syiah Kuala,Pendidikan Fisika,36
Universitas Syiah Kuala,Pendidikan Kimia,40
Universitas Syiah Kuala,Pendidikan Dokter,60
Universitas Syiah Kuala,Ilmu Keperawatan,60
Universitas Syiah Kuala,Pendidikan Dokter Gigi,24
Universitas Syiah Kuala,Matematika,36
Universitas Syiah Kuala,Fisika,36
Universitas Syiah Kuala,Kimia,36
Universitas Syiah Kuala,Biologi,36
Universitas Syiah Kuala,Ilmu Kelautan,72
Universitas Syiah Kuala,Budidaya Perairan,72
Universitas Syiah Kuala,Teknik Industri,48
Universitas Syiah Kuala,Informatika,36
Universitas Syiah Kuala,Farmasi,24
Universitas Syiah Kuala,Teknik Geofisika,32
Universitas Syiah Kuala,Teknik Pertambangan,24
Universitas Syiah Kuala,Statistika,24
Universitas Syiah Kuala,Pemanfaatan Sumberdaya Perikanan,72
Universitas Syiah Kuala,Ilmu Tanah,32
Universitas Syiah Kuala,Teknik Geologi,24
Universitas Syiah Kuala,Agroteknologi (Psdku Gayo Lues),20
Universitas Syiah Kuala,Pendidikan Biologi  (Pdsku Gayo Lues),16
Universitas Syiah Kuala,Kehutanan (Psdku Gayo Lues),16
Universitas Syiah Kuala,Proteksi Tanaman,32
Universitas Syiah Kuala,Perencanaan Wilayah Dan Kota,24
Universitas Syiah Kuala,Kehutanan,32
Universitas Syiah Kuala,Teknik Komputer,40
Universitas Malikussaleh,Teknik Sipil,100
Universitas Malikussaleh,Teknik Mesin,100
Universitas Malikussaleh,Teknik Kimia,100
Universitas Malikussaleh,Teknik Elektro,80
Universitas Malikussaleh,Teknik Industri,80
Universitas Malikussaleh,Teknik Informatika,80
Universitas Malikussaleh,Teknik Arsitektur,64
Universitas Malikussaleh,Agroekoteknologi,80
Universitas Malikussaleh,Agribisnis,60
Universitas Malikussaleh,Budidaya Perairan,48
Universitas Malikussaleh,Pendidikan Dokter,32
Universitas Malikussaleh,Pendidikan Matematika,32
Universitas Malikussaleh,Pendidikan Teknik Mesin,32
Universitas Malikussaleh,Sistem Informasi,56
Universitas Malikussaleh,Ilmu Kelautan,36
Universitas Malikussaleh,Teknik Material,32
Universitas Teuku Umar,Teknik Sipil,60
Universitas Teuku Umar,Teknik Mesin,40
Universitas Teuku Umar,Teknik Industri,40
Universitas Teuku Umar,Agribisnis,60
Universitas Teuku Umar,Agroteknologi,60
Universitas Teuku Umar,Perikanan,60
Universitas Teuku Umar,Kesehatan Masyarakat,75
Universitas Teuku Umar,Akuakultur,30
Universitas Teuku Umar,Teknologi Hasil Pertanian,40
Universitas Samudra,Agroteknologi,32
Universitas Samudra,Agribisnis,32
Universitas Samudra,Budidaya Perairan,32
Universitas Samudra,Pendidikan Matematika,16
Universitas Samudra,Pendidikan Fisika,16
Universitas Samudra,Pendidikan Kimia,16
Universitas Samudra,Pendidikan Biologi,32
Universitas Samudra,Teknik Mesin,32
Universitas Samudra,Teknik Sipil,32
Universitas Samudra,Teknik Industri,16
Universitas Samudra,Teknik Informatika,32
Universitas Samudra,Fisika,16
Universitas Samudra,Kimia ,16
Universitas Samudra,Biologi,16
Universitas Islam Negeri Ar-Raniry,Pendidikan Teknik Elektro,28
Universitas Islam Negeri Ar-Raniry,Pendidikan Teknologi Informatika,28
Universitas Islam Negeri Ar-Raniry,Arsitektur,48
